Year,Original Song,Original Artist,Second Song,Second Artist,Copyright/Royalties (Y/N),Original Song YouTube Link,Second Song Youtube Link
2015,"""I Won't Back Down""",Tom Petty,"""Stay With Me""",Sam Smith,Y,https://www.youtube.com/watch?v=nvlTJrNJ5lA,https://www.youtube.com/watch?v=pB-5XG-DbAA
2015,"""Mulheres""",Toninho Geraes,"""Million Years Ago""",Adele,Y,https://www.youtube.com/watch?v=B8U9T5FKync,https://www.youtube.com/watch?v=Db9ciJPIaEU
2015,"""Takin' Me to Paradise""","Bruno Bergonzi, Michele Vicino","""The Most Beautiful Girl in the World""",Prince,Y,https://www.youtube.com/watch?v=GJ_ANfb3WyE,https://www.youtube.com/watch?v=FuXbKLiW1UI
2015,"""Oops Up Side Your Head""",The Gap Band,"""Uptown Funk""","Mark Ronson, Bruno Mars",Y,https://www.youtube.com/watch?v=yVjFwcdQlN0,https://www.youtube.com/watch?v=FuXbKLiW1UI
2016,"""Young Girls""",Collage,"""Uptown Funk""","Mark Ronson, Bruno Mars",Y,https://www.youtube.com/watch?v=pfTr_fgQpvg,https://www.youtube.com/watch?v=FuXbKLiW1UI
2016,"""Les chansons d'artistes""",Les annees Boum,"""Si seulementn je pouvais lui manquer""",Calogero,Y,https://www.youtube.com/watch?v=x9HAXVomVYE,https://www.youtube.com/watch?v=fn0Jx6S2TR4
2016,"""Don't You Want to Stay""",Bill Withers,"""I Do This""",Kendrick Lamar,Y,https://www.youtube.com/watch?v=9VaKENF4W1E,https://www.youtube.com/watch?v=yiel4RTZ-tY
2017,"""Amazing""",Matt Cardle,"""Photograph""",Ed Sheeran,Y,https://www.youtube.com/watch?v=sWtP_1lyghM,https://www.youtube.com/watch?v=nSDgHBxUbVQ
2017,"""Gyöngyhajú lány""",Gábor Presser,"""New Slaves""",Kanye West,Y,https://www.youtube.com/watch?v=kwhGj80nkys,https://www.youtube.com/watch?v=vQ0u09mFodw
2017,"""More Bounce to the Ounce""",Zapp,"""Uptown Funk""","Mark Ronson, Bruno Mars",Y,https://www.youtube.com/watch?v=r_IPV2zeDIc,https://www.youtube.com/watch?v=FuXbKLiW1UI
2018,"""Hooyo""",Yasmin Mohamed,"""Starboy""",The Weeknd,Y,https://www.youtube.com/watch?v=1vGkShAKYFM,https://www.youtube.com/watch?v=34Na4j8AVgA
2018,"""Seven Nation Army""",The White Stripes,"""Toy""",Netta Barzilai,Y,https://www.youtube.com/watch?v=0J2QdDbelmY,https://www.youtube.com/watch?v=CziHrYYSyPc
2018,"""When I Found You""",Jasmine Rae,"""The Rest of Our Life""",Tim McGraw and Faith Hill,Y,https://www.youtube.com/watch?v=L-T-aSHM0fc,https://www.youtube.com/watch?v=pqdaskhEa0I
2018,"""The Man Who Can't Be Moved""",The Script,"""Say You Won't Let Go""",James Arthur,Y,https://www.youtube.com/watch?v=gS9o1FAszdk,https://www.youtube.com/watch?v=0yW7w8F2TVA
2019,"""Work This Pussy""",Junior Vasquez,"""WTP""",Kanye West,Y,https://www.youtube.com/watch?v=_fle5uGpBcc,https://www.youtube.com/watch?v=XLQ4YwDOprw
2019,"""Joyful Noise""",Flame,"""Dark Horse""",Katy Perry,Y,https://www.youtube.com/watch?v=MllhC0qyEjY,https://www.youtube.com/watch?v=0KSOMA3QBU0
2019,"""Carry On""",Bobby Caldwell,"""Carry On""",Lil Nas X,Y,https://www.youtube.com/watch?v=aEa1WwGZgrU,https://www.youtube.com/watch?v=X-3Fvtwj0fg
2019,"""Creep""",Radiohead,"""Get Free""",Lana Del Rey,Y,https://www.youtube.com/watch?v=XFkzRNyygfk,https://www.youtube.com/watch?v=axRMZqUNVEw
2019,"""Holly Wood Died""",Yellowcard,"""Lucid Dreams""",Juice Wrld,Y,https://www.youtube.com/watch?v=FcYDWUnnwRM,https://www.youtube.com/watch?v=mzB1VGEGcSU
2020,"""Naked""",Louise Redknapp,"""Peppa's Party Time""",Peppa Pig,Y,https://www.youtube.com/watch?v=D4ryEDAsezk,https://www.youtube.com/watch?v=dW2yC7V3QDo
2020,"""Baby Can I Hold You""",Tracy Chapman,"""Sorry""",Nicki Minaj,Y,https://www.youtube.com/watch?v=DqoLMGSBGYc,https://www.youtube.com/watch?v=0lXeIkab3rQ
2021,"""Ice Drop""",DJ Lag,"""Culture""",will.i.am,Y,https://www.youtube.com/watch?v=9ycr4BI8I94,https://www.youtube.com/watch?v=8yOLzsQpreM
